"Protein Group","Top","Accession","-10LgP","Coverage(%)","Coverage(%) Sample 2","#Peptides","Area Sample 2","#Unique","#Spec Sample 2","PTM","Average Mass","Description"
115,false,"P16341|KAX51_LEIHE",189.42218,74.19,74.19,5,1.18206771E9,5,17.0,"Carbamidomethylation; Deamidation (NQ)",3430.1694,"Potassium channel toxin alpha-KTx 5.1 OS=Leiurus hebraeus OX=6884 PE=1 SV=1"
155,true,"Q8MQL0|KA163_MESMA",255.30025,59.32,59.32,8,2687304.8,1,31.0,"Carbamidomethylation",6482.803,"Potassium channel toxin alpha-KTx 16.3 OS=Mesobuthus martensii OX=34649 PE=2 SV=1"
177,false,"B8XH48|B8XH48_BUTOS",30.196234,9.84,9.84,1,451139.78,1,2.0,"Carbamidomethylation",6650.2876,"Putative potassium channel toxin Tx821 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
137,true,"P60268|CTXI3_MESEU",249.33412,38.89,38.89,6,384105.8,1,10.0,"Oxidation (M); Carbamidomethylation; Deamidation (NQ)",4080.7449,"Insectotoxin-I3 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
75,true,"P60270|CTXI5_MESEU",310.24512,57.14,57.14,12,437709.5,2,39.0,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",3834.5747,"Insectotoxin-I5 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
177,false,"C0HM72|KAX2N_CENBO",30.196234,15.38,15.38,1,451139.78,1,2.0,"Carbamidomethylation",4363.241,"Potassium channel toxin alpha-KTx 2.23 (Fragment) OS=Centruroides bonito OX=3035065 PE=1 SV=1"
347,true,"A0A2I9LPH0|A0A2I9LPH0_9SCOR",96.52231,3.05,3.05,1,38121.746,1,1.0,"",57068.1,"Pyruvate kinase OS=Centruroides hentzi OX=88313 PE=3 SV=1"
283,false,"D0UMX5|D0UMX5_HADAR",88.09183,4.95,4.95,1,134038.83,1,1.0,"Carbamidomethylation",24845.645,"Glucose-6-phosphate isomerase (Fragment) OS=Hadrurus arizonensis OX=88316 PE=2 SV=1"
105,true,"A0A1E1WVN1|A0A1E1WVN1_TITOB",298.48737,15.61,15.61,12,1967458.2,4,19.0,"Deamidation (NQ)",72269.9,"Putative hemocyanin subunit OS=Tityus obscurus OX=1221240 PE=4 SV=1"
177,false,"C0HJW6|KAX2G_CENTE",30.196234,15.38,15.38,1,451139.78,1,2.0,"Carbamidomethylation",4345.267,"Potassium channel toxin alpha-KTx 2.16 OS=Centruroides tecomanus OX=1028682 PE=1 SV=1"
5,false,"A0A143FHE4|A0A143FHE4_MESEU",479.0696,71.76,71.76,50,2345322.8,1,418.0,"Carbamidomethylation; Deamidation (NQ)",9414.794,"Venom sodium channel toxin-3 (Fragment) OS=Mesobuthus eupeus OX=34648 GN=VSCT-3 PE=4 SV=1"
177,false,"P0DUI4|KAX2K_CENTE",30.196234,9.68,9.68,1,451139.78,1,2.0,"Carbamidomethylation",6883.3022,"Toxin Ct28 OS=Centruroides tecomanus OX=1028682 PE=1 SV=1"
248,false,"Q686T0|Q686T0_MESGB",195.35854,24.37,24.37,3,1000327.2,3,5.0,"Carbamidomethylation",12893.472,"CG10527-like methyltransferase (Fragment) OS=Mesobuthus gibbosus OX=123226 GN=mt PE=4 SV=1"
140,false,"B8XGY1|B8XGY1_BUTOS",228.66614,24.42,24.42,6,383877.22,1,60.0,"Deamidation (NQ); Carbamidomethylation",9625.001,"Putative alpha toxin Tx93 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
198,false,"P60258|SCXD_BUTOM",97.45584,15.71,15.71,1,3103061.0,1,1.0,"Carbamidomethylation",7964.0117,"Toxin Boma6d OS=Buthus occitanus mardochei OX=6869 PE=3 SV=1"
171,true,"M1JMR8|SCX8_ANDCR",220.74754,46.97,46.97,5,2.146658E7,1,7.0,"Carbamidomethylation; Deamidation (NQ)",7538.515,"Sodium channel alpha-toxin Acra8 OS=Androctonus crassicauda OX=122909 PE=3 SV=1"
248,false,"Q686W4|Q686W4_MESGB",195.35854,24.37,24.37,3,1000327.2,3,5.0,"Carbamidomethylation",12885.172,"CG10527-like methyltransferase (Fragment) OS=Mesobuthus gibbosus OX=123226 GN=mettrans PE=4 SV=1"
177,false,"C0HM77|KAX2M_CENBO",30.196234,15.38,15.38,1,451139.78,1,2.0,"Carbamidomethylation",4331.24,"Potassium channel toxin alpha-KTx 2.22 (Fragment) OS=Centruroides bonito OX=3035065 PE=1 SV=1"
348,true,"P80669|KAX93_LEIHE",59.56765,57.14,57.14,1,,1,1.0,"Acetylation (Protein N-term); Deamidation (NQ); Carbamidomethylation",2954.405,"Potassium channel toxin alpha-KTx 9.3 OS=Leiurus hebraeus OX=6884 PE=1 SV=1"
83,true,"A0A146CJ24|A0A146CJ24_MESEU",331.47733,49.44,49.44,14,3.1820988E7,11,21.0,"Carbamidomethylation; Oxidation (M)",10268.952,"Venom peptide meuPep26 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
265,true,"A0A0K0LBU0|A0A0K0LBU0_9SCOR",185.99939,29.89,29.89,3,1387011.6,1,10.0,"Carbamidomethylation",10033.56,"Sodium channel blocker AbNaTx21 OS=Androctonus bicolor OX=748906 PE=2 SV=1"
349,true,"F1CJ20|F1CJ20_HOTJU",99.61249,2.29,2.29,1,1271121.4,1,2.0,"",39999.438,"Putative hemolectin (Fragment) OS=Hottentotta judaicus OX=6863 PE=2 SV=1"
102,false,"V9LLY8|V9LLY8_MESMA",134.39583,26.32,26.32,3,8.3093677E8,3,8.0,"Deamidation (NQ); Carbamidomethylation",6383.6943,"Toxin BmTX4 OS=Mesobuthus martensii OX=34649 PE=4 SV=1"
240,false,"A0A0C9RFL2|A0A0C9RFL2_TITBA",154.02972,4.62,4.62,2,504698.8,2,4.0,"Carbamidomethylation",42817.16,"TSA: Tityus bahiensis Tbah00827 mRNA sequence OS=Tityus bahiensis OX=50343 PE=2 SV=1"
134,true,"A0A088D9P9|A0A088D9P9_MESEU",250.72404,59.32,59.32,9,3727181.5,1,32.0,"Carbamidomethylation",6415.7163,"Potassium channel blocker pMeKTx10-2a OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
239,true,"A0A8K1NDQ8|A0A8K1NDQ8_ANDCR",186.4971,8.89,8.89,4,1085794.1,4,5.0,"Carbamidomethylation",58083.64,"Catalase OS=Androctonus crassicauda OX=122909 PE=2 SV=1"
350,true,"F1CJ26|F1CJ26_HOTJU",68.01788,3.29,3.29,1,306047.34,1,1.0,"",27663.578,"M12B metalloprotease (Fragment) OS=Hottentotta judaicus OX=6863 PE=2 SV=1"
351,true,"B8XH13|B8XH13_BUTOS",35.70829,9.09,9.09,1,614270.44,1,1.0,"Carbamidomethylation",8676.103,"Putative depressant toxin Tx396 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
73,false,"P56215|KAX81_ANDMA",94.17779,24.14,24.14,1,20212.47,1,1.0,"Carbamidomethylation",3184.5613,"Potassium channel toxin alpha-KTx 8.1 OS=Androctonus mauritanicus mauritanicus OX=6860 PE=1 SV=1"
156,true,"A0A2I9LPI1|A0A2I9LPI1_9SCOR",286.73126,24.83,24.83,8,410441.66,4,10.0,"Carbamidomethylation",50225.4,"Rab GDP dissociation inhibitor OS=Centruroides hentzi OX=88313 PE=3 SV=1"
264,false,"A0A8K1NDR3|A0A8K1NDR3_HEMLE",104.99435,4.84,4.84,1,,1,1.0,"Carbamidomethylation",26827.754,"Triosephosphate isomerase OS=Hemiscorpius lepturus OX=520031 PE=2 SV=1"
352,true,"P01484|SCX2_ANDAU",27.894434,21.18,21.18,1,1.0273899E7,1,4.0,"Deamidation (NQ); Carbamidomethylation",9547.918,"Alpha-mammal toxin AaH2 OS=Androctonus australis OX=6858 PE=1 SV=3"
170,true,"A0A2I9LPN2|A0A2I9LPN2_9SCOR",225.98438,35.26,35.26,7,6908630.0,7,11.0,"Acetylation (Protein N-term)",17900.895,"60S ribosomal protein L40A OS=Centruroides hentzi OX=88313 PE=3 SV=1"
9,false,"E4VNZ8|E4VNZ8_MESEU",458.8213,66.77,66.77,42,3.29689165E9,30,146.0,"Oxidation (M); Carbamidomethylation; Deamidation (NQ)",35601.562,"Venom metalloprotease-2 (Fragment) OS=Mesobuthus eupeus OX=34648 GN=VP-2 PE=2 SV=1"
353,true,"A0A2I9LNT8|A0A2I9LNT8_9SCOR",21.300217,10.74,10.74,1,71409.15,1,1.0,"",16810.557,"Calglandulin OS=Centruroides hentzi OX=88313 PE=4 SV=1"
157,true,"B8XGZ0|B8XGZ0_BUTOS",235.5579,65.88,65.88,7,81234.69,1,11.0,"Carbamidomethylation; Deamidation (NQ)",9517.932,"Putative alpha toxin Tx613 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
354,true,"A0A1W7R9Z8|A0A1W7R9Z8_9SCOR",70.784645,1.36,1.36,1,2064035.0,1,3.0,"",68322.42,"Angiotensin-converting enzyme OS=Hadrurus spadix OX=141984 PE=3 SV=1"
201,false,"A0A1W7RAC2|A0A1W7RAC2_9SCOR",131.49799,2.74,2.74,2,,1,2.0,"",72913.67,"Heat shock 70 kDa protein cognate 3 OS=Hadrurus spadix OX=141984 PE=3 SV=1"
266,true,"P0C2F3|KBX1_TITST",183.21945,36.67,36.67,3,,1,4.0,"Carbamidomethylation; Deamidation (NQ)",6722.7666,"Potassium channel toxin Tst-beta-KTx OS=Tityus stigmurus OX=50344 PE=1 SV=1"
267,true,"A0A2I9LPG6|A0A2I9LPG6_9SCOR",183.24696,7.93,7.93,3,73259.62,3,4.0,"Carbamidomethylation",67871.48,"Polypeptide N-acetylgalactosaminyltransferase OS=Centruroides hentzi OX=88313 PE=3 SV=1"
208,true,"B8XH52|B8XH52_BUTOS",224.5951,27.85,27.85,5,,2,5.0,"Carbamidomethylation",9055.501,"Putative toxin Tx776 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
83,false,"A0A0B4KJR4|A0A0B4KJR4_MESMA",324.34088,40.48,40.48,13,2.61267E7,10,20.0,"Carbamidomethylation; Oxidation (M)",9642.181,"HAP-1 OS=Mesobuthus martensii OX=34649 PE=2 SV=1"
205,true,"P0C1B5|ALTI_PARTR",206.0381,29.31,29.31,4,6039844.0,1,9.0,"Deamidation (NQ); Carbamidomethylation",6603.414,"Altitoxin OS=Parabuthus transvaalicus OX=170972 PE=1 SV=2"
268,true,"A0A2I9LNW4|A0A2I9LNW4_9SCOR",189.59285,9.67,9.67,3,805023.4,3,4.0,"",51772.79,"Cathepsin F-like cysteine proteinase OS=Centruroides hentzi OX=88313 PE=3 SV=1"
305,true,"Q95P88|DEF_MESMA",107.126526,13.11,13.11,2,1069959.6,1,2.0,"",6746.807,"Defensin-like peptide TXKs2 OS=Mesobuthus martensii OX=34649 PE=2 SV=1"
208,true,"B8XH51|B8XH51_BUTOS",224.5951,28.21,28.21,5,,2,5.0,"Carbamidomethylation",8910.282,"Putative toxin Tx707 (Fragment) OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
8,true,"P86100|HYAL1_MESMA",454.45624,56.10,56.10,45,8.983815E8,33,152.0,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",47433.453,"Hyaluronidase-1 OS=Mesobuthus martensii OX=34649 PE=1 SV=2"
184,false,"Q8MWI2|Q8MWI2_9NEOP",145.1741,5.25,5.25,2,639762.6,2,2.0,"",39310.14,"Elongation factor 1-alpha (Fragment) OS=Panorpa japonica OX=75384 GN=Ef-1a PE=3 SV=1"
121,true,"A0A146CIV8|A0A146CIV8_MESEU",288.27795,36.00,36.00,9,4.18962624E8,6,28.0,"Carbamidomethylation; Deamidation (NQ)",11308.857,"Sodium channel toxin meuNaTx-4 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
282,false,"A0A059UI27|A0A059UI27_MESGB",80.95368,6.98,6.98,1,1.517416E7,1,1.0,"",9463.982,"Depressant insect toxin-like protein OS=Mesobuthus gibbosus OX=123226 PE=2 SV=1"
269,true,"A0A2I9LP26|A0A2I9LP26_9SCOR",103.45126,4.00,4.00,3,119716.7,3,4.0,"",97686.67,"Alpha-1,4 glucan phosphorylase OS=Centruroides hentzi OX=88313 PE=3 SV=1"
355,true,"A0A1W7RAI2|A0A1W7RAI2_9SCOR",49.888138,6.11,6.11,1,244338.78,1,1.0,"",14502.683,"Fatty acid-binding protein OS=Hadrurus spadix OX=141984 PE=3 SV=1"
177,false,"P0C161|KAX28_CENEL",30.196234,15.38,15.38,1,451139.78,1,2.0,"Carbamidomethylation",4260.0776,"Potassium channel toxin alpha-KTx 2.8 OS=Centruroides elegans OX=217897 PE=1 SV=1"
356,true,"A0A1W4X7B0|A0A1W4X7B0_AGRPL",41.252213,0.28,0.28,1,,1,1.0,"",316073.3,"Fibrillin-2 isoform X2 OS=Agrilus planipennis OX=224129 GN=LOC108739042 PE=4 SV=1"
208,true,"A0A0U4QVR7|A0A0U4QVR7_ODODO",224.5951,27.85,27.85,5,,2,5.0,"Carbamidomethylation",9148.603,"Toxin Tx1 OS=Odontobuthus doriae OX=342590 GN=Tx1 PE=2 SV=1"
55,true,"A0A1E1WW95|A0A1E1WW95_TITOB",364.24164,30.30,30.30,18,1298947.2,3,38.0,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",72098.45,"Putative hemocyanin subunit OS=Tityus obscurus OX=1221240 PE=3 SV=1"
356,true,"A0A1W4WWI1|A0A1W4WWI1_AGRPL",41.252213,0.28,0.28,1,,1,1.0,"",316172.47,"Fibrillin-2 isoform X1 OS=Agrilus planipennis OX=224129 GN=LOC108739042 PE=4 SV=1"
265,true,"A0A0K0LBU9|A0A0K0LBU9_9SCOR",185.99939,31.33,31.33,3,1387011.6,1,10.0,"Carbamidomethylation",9486.951,"Sodium channel blocker AbNaTx26 OS=Androctonus bicolor OX=748906 PE=2 SV=1"
44,true,"A0A5P8U2Q8|A0A5P8U2Q8_MESEU",373.9633,88.24,88.24,23,,1,38.0,"Carbamidomethylation; Deamidation (NQ)",7500.501,"Toxin (Fragment) OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
357,true,"A0A7S8RFI7|SCX37_TITSE",39.18812,8.24,8.24,1,2.5463464E7,1,3.0,"",9353.889,"Putative sodium channel toxin Ts37 OS=Tityus serrulatus OX=6887 PE=3 SV=1"
122,true,"C0HJQ5|KAX87_MESEU",286.35638,66.67,66.67,9,2.86542144E8,7,18.0,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",6416.6733,"Potassium channel toxin alpha-KTx 8.7 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
158,true,"Q8MUB1|KA221_MESMA",280.25693,24.19,24.19,8,2.38554432E8,8,20.0,"Carbamidomethylation",7139.401,"Potassium channel toxin alpha-KTx 22.1 OS=Mesobuthus martensii OX=34649 PE=2 SV=2"
358,true,"A0A2I9LNQ7|A0A2I9LNQ7_9SCOR",95.492584,16.07,16.07,1,487292.06,1,1.0,"Carbamidomethylation",6356.501,"AKTx OS=Centruroides hentzi OX=88313 PE=4 SV=1"
51,true,"Q6WJF5|LV1A_MESMA",350.90414,41.84,41.84,16,6.6275987E8,8,46.0,"Carbamidomethylation; Deamidation (NQ)",11329.1045,"Lipolysis-activating peptide 1-alpha chain OS=Mesobuthus martensii OX=34649 GN=LVP1a PE=1 SV=3"
306,true,"A0A088DB48|A0A088DB48_MESEU",105.08854,24.59,24.59,2,1.51260688E8,2,2.0,"Carbamidomethylation; Deamidation (NQ)",6662.1353,"Potassium channel blocker pMeKTx13-2c OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
262,false,"A0A7S8RGB6|A0A7S8RGB6_TITSE",93.80799,2.31,2.31,1,567793.25,1,2.0,"",39130.21,"Putative peptidyl-glycine alpha-hydroxylating monooxygenase OS=Tityus serrulatus OX=6887 PE=2 SV=1"
209,true,"A0A1E1WVL0|A0A1E1WVL0_TITOB",204.10968,9.25,9.25,5,3677714.2,5,6.0,"",46784.06,"Ectonucleotide pyrophosphatase/phosphodiesterase OS=Tityus obscurus OX=1221240 PE=4 SV=1"
140,false,"F0V3W0|F0V3W0_HOTJU",228.66614,24.71,24.71,6,383877.22,1,60.0,"Deamidation (NQ); Carbamidomethylation",9311.793,"Alpha neurotoxin precusor OS=Hottentotta judaicus OX=6863 GN=aIT PE=2 SV=1"
83,false,"A0A0C4G490|A0A0C4G490_MESMA",324.34088,56.67,56.67,13,2.61267E7,10,20.0,"Carbamidomethylation; Oxidation (M)",6753.6455,"KIP (Fragment) OS=Mesobuthus martensii OX=34649 PE=2 SV=2"
70,false,"E4VP17|E4VP17_MESEU",45.716244,13.04,13.04,1,1292335.5,1,1.0,"",5282.381,"Venom antimicrobial peptide-4 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
115,false,"P59870|KAX55_HOTTA",84.79066,22.58,22.58,2,8.5497619E8,2,9.0,"",3439.1187,"Potassium channel toxin alpha-KTx 5.5 OS=Hottentotta tamulus OX=34647 PE=1 SV=1"
299,true,"A0A088DB03|A0A088DB03_MESEU",78.35005,23.64,23.64,2,1.2903473E7,2,4.0,"Carbamidomethylation",6266.493,"Potassium channel blocker pMeKTx7-3 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
270,true,"A0A2I9LPU9|A0A2I9LPU9_9SCOR",76.18577,2.95,2.95,3,2513942.0,2,3.0,"Carbamidomethylation",78899.04,"Transferrin OS=Centruroides hentzi OX=88313 PE=3 SV=1"
264,false,"D0US00|D0US00_HADAR",104.99435,8.16,8.16,1,,1,1.0,"Carbamidomethylation",15874.356,"Triosephosphate isomerase (Fragment) OS=Hadrurus arizonensis OX=88316 PE=2 SV=1"
271,true,"A0A2I9LPI6|A0A2I9LPI6_9SCOR",184.47684,18.05,18.05,3,,3,4.0,"",23072.176,"Ras related protein OS=Centruroides hentzi OX=88313 PE=3 SV=1"
359,true,"A0A2I9LNM8|A0A2I9LNM8_9SCOR",83.78497,5.52,5.52,1,31791.984,1,1.0,"",20616.715,"ADP-ribosylation factor OS=Centruroides hentzi OX=88313 PE=3 SV=1"
210,true,"A0A0K0LC99|A0A0K0LC99_9SCOR",240.70819,51.09,51.09,5,9.1896744E7,2,13.0,"Acetylation (Protein N-term); Carbamidomethylation",10213.245,"Cellular protein AbCp-54 (Fragment) OS=Androctonus bicolor OX=748906 PE=2 SV=1"
138,true,"Q9NJC7|SC11_MESMA",262.48965,41.18,41.18,8,675028.1,2,11.0,"Carbamidomethylation; Deamidation (NQ)",9523.933,"BmK AGP-SYPU2 OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
334,true,"E4VP11|E4VP11_MESEU",35.24445,8.00,8.00,1,489294.78,1,1.0,"",8686.419,"Venom antimicrobial peptide OS=Mesobuthus eupeus OX=34648 GN=VAMP-3 PE=2 SV=1"
360,true,"A0AA49XAB9|A0AA49XAB9_ANDCR",97.21401,5.38,5.38,1,91799.086,1,1.0,"Carbamidomethylation",32157.424,"Secretory phospholipase A2 isoform X4 OS=Androctonus crassicauda OX=122909 PE=2 SV=1"
59,false,"E6Y2S5|E6Y2S5_MESMA",336.92236,42.02,42.02,15,7878446.0,15,21.0,"Deamidation (NQ)",42013.03,"Beta-actin OS=Mesobuthus martensii OX=34649 PE=2 SV=1"
171,false,"P01482|SCX5_ANDMA",211.18092,23.44,23.44,4,2.146658E7,1,6.0,"Carbamidomethylation; Deamidation (NQ)",7301.2476,"Alpha-toxin Amm5 OS=Androctonus mauritanicus mauritanicus OX=6860 PE=1 SV=1"
240,true,"A0A1E1WVU9|A0A1E1WVU9_TITOB",219.69215,12.56,12.56,4,1016279.6,4,8.0,"Carbamidomethylation",42814.13,"Putative cathepsin D-like protein OS=Tityus obscurus OX=1221240 PE=3 SV=1"
73,false,"A0A0K0LBX0|A0A0K0LBX0_9SCOR",94.17779,12.28,12.28,1,20212.47,1,1.0,"Carbamidomethylation",6299.4585,"Potassium channel blocker AbTx14 OS=Androctonus bicolor OX=748906 PE=2 SV=1"
361,true,"G4WFQ5|G4WFQ5_MESEU",87.85164,19.32,19.32,1,,1,1.0,"Carbamidomethylation; Deamidation (NQ)",10127.661,"NaTxalpha-C5-2 OS=Mesobuthus eupeus OX=34648 PE=4 SV=1"
38,true,"A0A059UI30|KBX1_MESGB",395.98343,65.93,65.93,25,2.5030761E9,2,68.0,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)",10211.102,"Potassium channel toxin Meg-beta-KTx1 OS=Mesobuthus gibbosus OX=123226 PE=3 SV=1"
272,true,"A0A0C9RFK9|A0A0C9RFK9_TITBA",186.78136,12.44,12.44,3,1141100.8,2,3.0,"Carbamidomethylation; Deamidation (NQ)",44943.79,"TSA: Tityus bahiensis Tbah00905 mRNA sequence OS=Tityus bahiensis OX=50343 PE=2 SV=1"
228,false,"B8XH05|B8XH05_BUTOS",111.49829,9.09,9.09,2,4.5211948E7,2,2.0,"",10212.999,"Putative excitatory toxin Tx696 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
123,true,"A0A088DAY3|A0A088DAY3_MESEU",255.25323,49.21,49.21,8,2.79710528E8,8,17.0,"Carbamidomethylation; Deamidation (NQ)",7254.5786,"Potassium channel blocker pMeKTx25-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
76,true,"M4GX67|SCBTY_MESMA",343.83133,65.06,65.06,16,5.7977148E7,7,24.0,"Carbamidomethylation; Deamidation (NQ)",9611.241,"BmKBT-like peptide OS=Mesobuthus martensii OX=34649 PE=2 SV=1"
177,false,"A0A0K0LBX5|A0A0K0LBX5_9SCOR",30.196234,10.00,10.00,1,451139.78,1,2.0,"Carbamidomethylation",6574.073,"Potassium channel blocker AbTx9 OS=Androctonus bicolor OX=748906 PE=2 SV=1"
248,false,"Q686U5|Q686U5_MESGB",195.35854,24.37,24.37,3,1000327.2,3,5.0,"Carbamidomethylation",12875.928,"CG10527-like methyltransferase (Fragment) OS=Mesobuthus gibbosus OX=123226 GN=mt PE=4 SV=1"
73,false,"A0A0K0LBZ2|A0A0K0LBZ2_9SCOR",94.17779,12.28,12.28,1,20212.47,1,1.0,"Carbamidomethylation",6285.4316,"Potassium channel blocker AbTx13 OS=Androctonus bicolor OX=748906 PE=2 SV=1"
3,true,"A0A146CJ08|A0A146CJ08_MESEU",478.32892,96.97,96.97,55,2.20032845E9,21,219.0,"Carbamidomethylation; Deamidation (NQ)",7482.4565,"Venom toxin meuNaTx-2 (Fragment) OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
241,true,"A0A2I9LPF5|A0A2I9LPF5_9SCOR",166.63487,14.21,14.21,4,901479.56,3,4.0,"",22038.402,"thioredoxin-dependent peroxiredoxin OS=Centruroides hentzi OX=88313 PE=3 SV=1"
205,true,"P58752|BIRT_PARTR",206.0381,29.31,29.31,4,6039844.0,1,9.0,"Deamidation (NQ); Carbamidomethylation",6548.291,"Birtoxin OS=Parabuthus transvaalicus OX=170972 PE=1 SV=1"
176,true,"Q9GQW3|SC12_MESMA",236.14177,27.06,27.06,7,996717.9,2,11.0,"Carbamidomethylation; Deamidation (NQ)",9649.178,"Toxin BmKaIT1 OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
362,true,"B8XH20|B8XH20_BUTOS",82.68158,7.50,7.50,1,322199.44,1,1.0,"Carbamidomethylation",8913.47,"Putative depressant toxin Tx700 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
242,true,"E4VP01|E4VP01_MESEU",192.4032,54.93,54.93,3,2508214.0,3,6.0,"Carbamidomethylation; Deamidation (NQ)",7723.846,"Venom toxin-like peptide OS=Mesobuthus eupeus OX=34648 GN=vtoxinlip-1 PE=2 SV=1"
363,true,"E7D079|E7D079_MESEU",98.97772,39.47,39.47,1,,1,1.0,"Carbamidomethylation; Deamidation (NQ)",4226.7363,"Truncated sodium channel neurotoxin alpha type MeuNaTxalpha-14 (Fragment) OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
177,true,"Q9NII7|KAX36_MESMA",193.545,33.33,33.33,6,1.12127283E9,6,12.0,"Carbamidomethylation; Deamidation (NQ)",6461.9414,"Potassium channel toxin alpha-KTx 3.6 OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
307,true,"A0A1E1WVS9|A0A1E1WVS9_TITOB",145.72955,11.45,11.45,2,3279513.5,1,2.0,"Carbamidomethylation; Deamidation (NQ)",29761.695,"Putative serine proteinase chymotrypsin-like protein OS=Tityus obscurus OX=1221240 PE=3 SV=1"
92,true,"P86404|SCXN4_MESEU",320.77322,58.14,58.14,14,126120.15,2,26.0,"Carbamidomethylation; Deamidation (NQ)",9441.992,"Sodium channel neurotoxin MeuNaTxalpha-4 OS=Mesobuthus eupeus OX=34648 PE=1 SV=2"
308,true,"B8XGY3|B8XGY3_BUTOS",119.175125,16.28,16.28,2,,1,2.0,"Deamidation (NQ); Carbamidomethylation",9307.013,"Putative alpha toxin Tx120 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
59,false,"C5J8B7|C5J8B7_OPICY",275.35464,50.54,50.54,7,2976389.8,7,10.0,"Carbamidomethylation; Deamidation (NQ)",20888.025,"Actin (Fragment) OS=Opisthacanthus cayaporum OX=573324 GN=act PE=2 SV=1"
296,true,"V9P462|V9P462_MESEU",104.670876,12.20,12.20,1,4.2267844E7,1,5.0,"Deamidation (NQ); Carbamidomethylation",9688.136,"Meutoxin-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
106,true,"A0A088DB18|A0A088DB18_MESEU",280.45596,53.12,53.12,8,1.21079066E9,8,58.0,"Carbamidomethylation; Deamidation (NQ)",7211.436,"Potassium channel blocker pMeKTx17-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
29,true,"E4VP53|E4VP53_MESEU",417.15527,63.33,63.33,32,2.26293056E8,22,59.0,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",30370.545,"Chymotrypsin-like protease-4 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
63,true,"Q9GYX2|SCA1_MESMA",344.1003,60.00,60.00,16,8.8339952E7,2,58.0,"Carbamidomethylation; Deamidation (NQ)",9365.738,"Toxin BmKa1 OS=Mesobuthus martensii OX=34649 PE=2 SV=1"
70,true,"P0CH57|NDB51_MESEU",317.4086,40.91,40.91,14,8.4357818E8,2,55.0,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)",10143.949,"Potassium channel toxin MeuTXKbeta3-meucin-24 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
211,true,"A0A2I9LPF2|A0A2I9LPF2_9SCOR",222.67624,9.73,9.73,5,133586.72,5,6.0,"",72064.62,"Plastin-2 OS=Centruroides hentzi OX=88313 PE=4 SV=1"
84,true,"A0A1E1WVS7|A0A1E1WVS7_TITOB",326.46982,20.25,20.25,15,2084112.0,6,23.0,"Carbamidomethylation; Deamidation (NQ)",72760.12,"Putative hemocyanin subunit OS=Tityus obscurus OX=1221240 PE=4 SV=1"
212,true,"A0A1W7RB80|A0A1W7RB80_9SCOR",215.93283,21.22,21.22,5,691317.4,5,6.0,"",28062.393,"14-3-3 protein zeta OS=Hadrurus spadix OX=141984 PE=3 SV=1"
282,false,"A0A059UED5|A0A059UED5_MESGB",80.95368,6.98,6.98,1,1.517416E7,1,1.0,"",9403.915,"Depressant insect toxin-like protein OS=Mesobuthus gibbosus OX=123226 PE=2 SV=1"
59,false,"A0A1W7RB59|A0A1W7RB59_9SCOR",358.67413,57.45,57.45,17,8674531.0,17,25.0,"Deamidation (NQ); Carbamidomethylation",41779.754,"Actin OS=Hadrurus spadix OX=141984 PE=3 SV=1"
